epoch,loss,val_loss
0,0.0819974815845,0.0825527589768
1,0.0515362185985,0.0339788737474
2,0.0324031750765,0.013142784941
3,0.0212646639254,0.00824892535456
4,0.0165110222483,0.00728183396859
5,0.0163510490162,0.00697867167764
6,0.0140087606665,0.00782927928958
7,0.0133759633778,0.00598950902349
8,0.0119785402017,0.0069084148854
9,0.0113006922277,0.00511220601038
10,0.0112056074478,0.00525207178725
11,0.0105357279256,0.00486607584753
12,0.0105397877609,0.00530177835026
13,0.0106358965719,0.00520923596923
14,0.00952552731149,0.00473722824245
15,0.00896553854924,0.00467351588304
16,0.00899276153184,0.00454731889477
17,0.00932388048153,0.00467735841812
18,0.00910775178112,0.00453747437859
19,0.00889391345438,0.00444677498308
20,0.00888692402281,0.00441898047575
21,0.00932320093969,0.00426789899939
22,0.00918779454194,0.00428016018122
23,0.00886690893676,0.00439175692736
24,0.00893492488191,0.00425221925252
25,0.00882707643323,0.0042563288298
26,0.00820097306278,0.00448591241729
27,0.0082031075703,0.00386978038296
28,0.00850156303495,0.00427870928252
29,0.00847004546318,0.00430156588845
30,0.00814727961086,0.0043582154176
31,0.00809004642535,0.00428736108006
32,0.00836908892263,0.0041738756554
33,0.00835278091021,0.0040621785738
34,0.0085336670978,0.00442079758795
35,0.00813366322778,0.00420506189403
36,0.00790710083209,0.00408147530106
37,0.00794074500911,0.00404581626935
38,0.00838618495502,0.00412123701244
39,0.00818461696617,0.00410505798936
40,0.00795094825793,0.00417715118965
41,0.00806657147594,0.00428895256482
42,0.00792586332653,0.00388800610381
43,0.00819155623671,0.00405432934349
44,0.00832100469153,0.00432122254279
45,0.00810816045851,0.00412814728043
46,0.00835563546512,0.00411516579334
47,0.0086000441201,0.00415834238811
48,0.00802878529998,0.00426896516001
49,0.00817701343447,0.00424492685124
